"Pcap_Date","Total_Packets","SYN_Packets","Retran_Packets"
"2016-08-01",109,108,1
"2016-08-02",235,235,0
"2016-08-03",332,332,0
"2016-08-04",357,357,0
"2016-08-05",286,286,0
"2016-08-06",474,474,0
"2016-08-07",482,482,0
"2016-08-08",502,502,0
"2016-08-09",457,457,0
"2016-08-10",352,352,0
"2016-08-11",262,261,1
"2016-08-12",321,321,0
"2016-08-13",265,264,1
"2016-08-14",212,212,0
"2016-08-15",184,184,0
"2016-08-16",85,85,0
"2016-08-17",178,178,0
"2016-08-18",210,210,0
"2016-08-19",236,236,0
"2016-08-20",330,330,0
"2016-08-21",384,384,0
"2016-08-22",434,433,1
"2016-08-23",511,511,0
"2016-08-24",484,484,0
"2016-08-25",487,487,0
"2016-08-26",429,426,3
"2016-08-27",486,486,0
"2016-08-28",393,393,0
"2016-08-29",449,449,0
"2016-08-30",487,486,1
"2016-08-31",329,329,0
"2016-09-01",343,342,1
"2016-09-02",389,388,1
"2016-09-03",235,235,0
"2016-09-04",277,274,3
"2016-09-05",225,225,0
"2016-09-06",169,169,0
"2016-09-07",133,133,0
"2016-09-08",170,168,2
"2016-09-09",164,164,0
"2016-09-10",92,92,0
"2016-09-11",82,82,0
"2016-09-12",80,80,0
"2016-09-13",86,85,1
"2016-09-14",303,286,17
"2016-09-15",445,347,98
"2016-09-16",896,728,168
"2016-09-17",1308,969,339
"2016-09-18",1127,856,271
"2016-09-19",1140,910,230
"2016-09-20",1637,837,800
"2016-09-21",1397,931,466
"2016-09-22",1223,979,244
"2016-09-23",1235,930,305
"2016-09-24",1191,790,401
"2016-09-25",1470,839,631
"2016-09-26",1670,817,853
"2016-09-27",1237,731,506
"2016-09-28",1393,726,667
"2016-09-29",1400,640,760
"2016-09-30",1255,645,610
"2016-10-01",1134,679,455
"2016-10-02",1358,919,439
"2016-10-03",1209,909,300
"2016-10-04",952,689,263
"2016-10-05",812,612,200
"2016-10-06",1004,712,292
"2016-10-07",850,636,214
"2016-10-08",798,635,163
"2016-10-09",739,614,125
"2016-10-10",874,652,222
"2016-10-11",892,839,53
"2016-10-12",967,796,171
"2016-10-13",1957,1012,945
"2016-10-14",1585,983,602
"2016-10-15",1276,1012,264
"2016-10-16",1457,983,474
"2016-10-17",1419,1052,367
"2016-10-18",1235,1016,219
"2016-10-19",1296,935,361
"2016-10-20",1331,1047,284
"2016-10-21",1746,956,790
"2016-10-22",2411,778,1633
"2016-10-23",2490,892,1598
"2016-10-24",3464,1031,2433
"2016-10-25",3060,993,2067
"2016-10-26",2497,1017,1480
"2016-10-27",2602,1017,1585
"2016-10-28",2578,1128,1450
"2016-10-29",2817,1188,1629
"2016-10-30",2748,1217,1531
"2016-10-31",2240,1156,1084
"2016-11-01",2352,1191,1161
"2016-11-02",1776,1052,724
"2016-11-03",2239,1083,1156
"2016-11-04",3143,1439,1704
"2016-11-05",3100,1867,1233
"2016-11-06",3263,2067,1196
"2016-11-07",3494,1851,1643
"2016-11-08",3353,1223,2130
"2016-11-09",2650,982,1668
"2016-11-10",2411,923,1488
"2016-11-11",1759,1045,714
"2016-11-12",2068,1394,674
"2016-11-13",1925,1365,560
"2016-11-14",2040,1563,477
"2016-11-15",2313,1581,732
"2016-11-16",3191,1437,1754
"2016-11-17",2295,1266,1029
"2016-11-18",1660,1082,578
"2016-11-19",1670,1053,617
"2016-11-20",178300,110985,67315
"2016-11-21",353935,205898,148037
"2016-11-22",292738,174272,118466
"2016-11-23",260792,167789,93003
"2016-11-24",247554,157425,90129
"2016-11-25",244369,159843,84526
"2016-11-26",234119,147294,86825
"2016-11-27",214858,129339,85519
"2016-11-28",159547,99624,59923
"2016-11-29",72500,46290,26210
"2016-11-30",366728,239465,127263
"2016-12-01",365330,241191,124139
"2016-12-02",367475,237797,129678
"2016-12-03",381363,237739,143624
"2016-12-04",359287,221087,138200
"2016-12-05",348970,224702,124268
"2016-12-06",389674,233225,156449
"2016-12-07",504734,252103,252631
"2016-12-08",617001,268255,348746
"2016-12-09",485935,268045,217890
"2016-12-10",531703,351296,180407
"2016-12-11",559914,403376,156538
"2016-12-12",467723,340794,126929
"2016-12-13",677801,355523,322278
"2016-12-14",1289585,491450,798135
"2016-12-15",974499,398664,575835
"2016-12-16",870421,409735,460686
"2016-12-17",828134,431744,396390
"2016-12-18",759255,409206,350049
"2016-12-19",693080,392348,300732
"2016-12-20",647354,387855,259499
"2016-12-21",656994,361161,295833
"2016-12-22",335712,148421,187291
"2016-12-23",540036,250890,289146
"2016-12-24",479442,235924,243518
"2016-12-25",444547,226955,217592
"2016-12-26",407616,220233,187383
"2016-12-27",366588,200028,166560
"2016-12-28",348175,205741,142434
"2016-12-29",311041,196016,115025
"2016-12-30",287791,188414,99377
"2016-12-31",268798,180802,87996
"2017-01-01",262979,179410,83569
"2017-01-02",256248,181659,74589
"2017-01-03",243426,171934,71492
"2017-01-04",238711,170932,67779
"2017-01-05",244213,164201,80012
"2017-01-06",225082,157909,67173
"2017-01-07",226385,158282,68103
"2017-01-08",241079,159954,81125
"2017-01-09",238344,156966,81378
"2017-01-10",391829,163615,228214
"2017-01-11",360810,159977,200833
"2017-01-12",328789,174122,154667
"2017-01-13",334530,197302,137228
"2017-01-14",344734,216770,127964
"2017-01-15",317586,207020,110566
"2017-01-16",289092,188201,100891
"2017-01-17",252737,181390,71347
"2017-01-18",237956,171944,66012
"2017-01-19",262583,170266,92317
"2017-01-20",307786,174804,132982
"2017-01-21",323249,211008,112241
"2017-01-22",303875,203889,99986
"2017-01-23",372902,256260,116642
"2017-01-24",788665,307327,481338
"2017-01-25",731445,238524,492921
"2017-01-26",538087,222531,315556
"2017-01-27",443119,207392,235727
"2017-01-28",411529,209629,201900
"2017-01-29",412778,235294,177484
"2017-01-30",405585,227798,177787
"2017-01-31",398629,215418,183211
"2017-02-01",316422,194839,121583
"2017-02-02",356504,195480,161024
"2017-02-03",282904,167035,115869
"2017-02-04",259029,159346,99683
"2017-02-05",244746,149942,94804
"2017-02-06",273695,163651,110044
"2017-02-07",241945,138567,103378
"2017-02-08",256438,143819,112619
"2017-02-09",301324,137685,163639
"2017-02-10",254736,130551,124185
"2017-02-11",232925,132467,100458
"2017-02-12",222989,129707,93282
"2017-02-13",200276,123636,76640
"2017-02-14",194892,118408,76484
"2017-02-15",235129,123882,111247
"2017-02-16",214717,124904,89813
"2017-02-17",219885,139331,80554
"2017-02-18",222638,150323,72315
"2017-02-19",210107,147669,62438
"2017-02-20",196851,143576,53275
"2017-02-21",193971,144574,49397
"2017-02-22",186498,133737,52761
"2017-02-23",194322,137847,56475
"2017-02-24",187960,131498,56462
"2017-02-25",242590,186720,55870
"2017-02-26",300101,243724,56377
"2017-02-27",347424,282206,65218
