"botscanning_subnets","Pcap_Date","D_Subnet"
,"2016-08-01","130.152.184.0/24"
,"2016-08-02","130.152.184.0/24"
,"2016-08-03","130.152.184.0/24"
,"2016-08-04","130.152.184.0/24"
,"2016-08-05","130.152.184.0/24"
,"2016-08-06","130.152.184.0/24"
,"2016-08-07","130.152.184.0/24"
,"2016-08-08","130.152.184.0/24"
,"2016-08-09","130.152.184.0/24"
,"2016-08-10","130.152.184.0/24"
,"2016-08-11","130.152.184.0/24"
,"2016-08-12","130.152.184.0/24"
,"2016-08-13","130.152.184.0/24"
,"2016-08-14","130.152.184.0/24"
,"2016-08-15","130.152.184.0/24"
,"2016-08-16","130.152.184.0/24"
,"2016-08-17","130.152.184.0/24"
,"2016-08-18","130.152.184.0/24"
,"2016-08-19","130.152.184.0/24"
,"2016-08-20","130.152.184.0/24"
,"2016-08-21","130.152.184.0/24"
,"2016-08-22","130.152.184.0/24"
,"2016-08-23","130.152.184.0/24"
,"2016-08-24","130.152.184.0/24"
,"2016-08-25","130.152.184.0/24"
,"2016-08-26","130.152.184.0/24"
,"2016-08-27","130.152.184.0/24"
,"2016-08-28","130.152.184.0/24"
,"2016-08-29","130.152.184.0/24"
,"2016-08-30","130.152.184.0/24"
,"2016-08-31","130.152.184.0/24"
,"2016-09-01","130.152.184.0/24"
,"2016-09-02","130.152.184.0/24"
,"2016-09-03","130.152.184.0/24"
,"2016-09-04","130.152.184.0/24"
,"2016-09-05","130.152.184.0/24"
,"2016-09-06","130.152.184.0/24"
,"2016-09-07","130.152.184.0/24"
,"2016-09-08","130.152.184.0/24"
,"2016-09-09","130.152.184.0/24"
,"2016-09-10","130.152.184.0/24"
,"2016-09-11","130.152.184.0/24"
,"2016-09-12","130.152.184.0/24"
,"2016-09-13","130.152.184.0/24"
,"2016-09-14","130.152.184.0/24"
,"2016-09-15","130.152.184.0/24"
,"2016-09-16","130.152.184.0/24"
,"2016-09-17","130.152.184.0/24"
,"2016-09-18","130.152.184.0/24"
,"2016-09-19","130.152.184.0/24"
,"2016-09-20","130.152.184.0/24"
,"2016-09-21","130.152.184.0/24"
,"2016-09-22","130.152.184.0/24"
,"2016-09-23","130.152.184.0/24"
,"2016-09-24","130.152.184.0/24"
,"2016-09-25","130.152.184.0/24"
,"2016-09-26","130.152.184.0/24"
,"2016-09-27","130.152.184.0/24"
,"2016-09-28","130.152.184.0/24"
,"2016-09-29","130.152.184.0/24"
,"2016-09-30","130.152.184.0/24"
,"2016-10-01","130.152.184.0/24"
,"2016-10-02","130.152.184.0/24"
,"2016-10-03","130.152.184.0/24"
,"2016-10-04","130.152.184.0/24"
,"2016-10-05","130.152.184.0/24"
,"2016-10-06","130.152.184.0/24"
,"2016-10-07","130.152.184.0/24"
,"2016-10-08","130.152.184.0/24"
,"2016-10-09","130.152.184.0/24"
,"2016-10-10","130.152.184.0/24"
,"2016-10-11","130.152.184.0/24"
,"2016-10-12","130.152.184.0/24"
,"2016-10-13","130.152.184.0/24"
,"2016-10-14","130.152.184.0/24"
,"2016-10-15","130.152.184.0/24"
,"2016-10-16","130.152.184.0/24"
,"2016-10-17","130.152.184.0/24"
,"2016-10-18","130.152.184.0/24"
,"2016-10-19","130.152.184.0/24"
,"2016-10-20","130.152.184.0/24"
,"2016-10-21","130.152.184.0/24"
,"2016-10-22","130.152.184.0/24"
,"2016-10-23","130.152.184.0/24"
,"2016-10-24","130.152.184.0/24"
,"2016-10-25","130.152.184.0/24"
,"2016-10-26","130.152.184.0/24"
,"2016-10-27","130.152.184.0/24"
