"Pcap_Date",Bots,"Pot_Bot_Victims"
"2016-08-01",108,1
"2016-08-02",235,1
"2016-08-03",332,1
"2016-08-04",357,1
"2016-08-05",286,1
"2016-08-06",474,1
"2016-08-07",482,1
"2016-08-08",502,1
"2016-08-09",457,1
"2016-08-10",352,1
"2016-08-11",261,1
"2016-08-12",321,1
"2016-08-13",264,1
"2016-08-14",212,1
"2016-08-15",184,1
"2016-08-16",85,1
"2016-08-17",178,1
"2016-08-18",210,1
"2016-08-19",236,1
"2016-08-20",330,1
"2016-08-21",384,1
"2016-08-22",433,1
"2016-08-23",511,1
"2016-08-24",484,1
"2016-08-25",487,1
"2016-08-26",426,1
"2016-08-27",486,1
"2016-08-28",393,1
"2016-08-29",449,1
"2016-08-30",486,1
"2016-08-31",329,1
"2016-09-01",342,1
"2016-09-02",388,1
"2016-09-03",235,1
"2016-09-04",274,1
"2016-09-05",225,1
"2016-09-06",169,1
"2016-09-07",133,1
"2016-09-08",168,1
"2016-09-09",164,1
"2016-09-10",92,1
"2016-09-11",82,1
"2016-09-12",80,1
"2016-09-13",85,1
"2016-09-14",286,1
"2016-09-15",347,1
"2016-09-16",728,1
"2016-09-17",969,1
"2016-09-18",856,1
"2016-09-19",910,1
"2016-09-20",837,1
"2016-09-21",931,1
"2016-09-22",979,1
"2016-09-23",930,1
"2016-09-24",790,1
"2016-09-25",839,1
"2016-09-26",817,1
"2016-09-27",731,1
"2016-09-28",726,1
"2016-09-29",640,1
"2016-09-30",645,1
"2016-10-01",679,1
"2016-10-02",919,1
"2016-10-03",909,1
"2016-10-04",689,1
"2016-10-05",612,1
"2016-10-06",712,1
"2016-10-07",636,1
"2016-10-08",635,1
"2016-10-09",614,1
"2016-10-10",652,1
"2016-10-11",839,1
"2016-10-12",796,1
"2016-10-13",1012,1
"2016-10-14",983,1
"2016-10-15",1012,1
"2016-10-16",983,1
"2016-10-17",1052,1
"2016-10-18",1016,1
"2016-10-19",935,1
"2016-10-20",1047,1
"2016-10-21",956,1
"2016-10-22",778,1
"2016-10-23",892,1
"2016-10-24",1031,1
"2016-10-25",993,1
"2016-10-26",1017,1
"2016-10-27",1017,1
"2016-10-28",1128,1
"2016-10-29",1188,1
"2016-10-30",1217,1
"2016-10-31",1156,1
"2016-11-01",1191,1
"2016-11-02",1052,1
"2016-11-03",1083,1
"2016-11-04",1439,1
"2016-11-05",1867,1
"2016-11-06",2067,1
"2016-11-07",1851,1
"2016-11-08",1223,1
"2016-11-09",982,1
"2016-11-10",923,1
"2016-11-11",1045,1
"2016-11-12",1394,1
"2016-11-13",1365,1
"2016-11-14",1563,1
"2016-11-15",1581,1
"2016-11-16",1437,1
"2016-11-17",1266,1
"2016-11-18",1082,1
"2016-11-19",1053,1
"2016-11-20",67723,258
"2016-11-21",115801,258
"2016-11-22",110284,257
"2016-11-23",108241,257
"2016-11-24",101672,257
"2016-11-25",105455,257
"2016-11-26",98412,257
"2016-11-27",84476,257
"2016-11-28",73185,257
"2016-11-29",35574,514
"2016-11-30",121424,514
"2016-12-01",118136,514
"2016-12-02",113274,514
"2016-12-03",112058,514
"2016-12-04",108249,514
"2016-12-05",112944,514
"2016-12-06",114109,514
"2016-12-07",125207,514
"2016-12-08",127017,514
"2016-12-09",122116,514
"2016-12-10",159547,514
"2016-12-11",171368,514
"2016-12-12",163384,514
"2016-12-13",174712,514
"2016-12-14",218803,514
"2016-12-15",165877,514
"2016-12-16",165261,514
"2016-12-17",167070,514
"2016-12-18",155685,514
"2016-12-19",158240,515
"2016-12-20",151139,514
"2016-12-21",142383,514
"2016-12-22",81495,514
"2016-12-23",104497,513
"2016-12-24",98893,513
"2016-12-25",97273,513
"2016-12-26",98683,513
"2016-12-27",92354,513
"2016-12-28",98706,513
"2016-12-29",93173,513
"2016-12-30",87440,513
"2016-12-31",86060,513
"2017-01-01",84620,513
"2017-01-02",89991,513
"2017-01-03",85220,513
"2017-01-04",89092,513
"2017-01-05",83456,513
"2017-01-06",81891,513
"2017-01-07",83836,513
"2017-01-08",83961,513
"2017-01-09",86921,513
"2017-01-10",90950,513
"2017-01-11",88430,513
"2017-01-12",93012,513
"2017-01-13",97880,513
"2017-01-14",99708,513
"2017-01-15",96646,513
"2017-01-16",95411,513
"2017-01-17",92966,513
"2017-01-18",87145,513
"2017-01-19",84498,513
"2017-01-20",87911,513
"2017-01-21",105075,513
"2017-01-22",97517,513
"2017-01-23",128151,513
"2017-01-24",141670,513
"2017-01-25",116009,513
"2017-01-26",107440,513
"2017-01-27",100897,513
"2017-01-28",104081,513
"2017-01-29",113028,513
"2017-01-30",114407,513
"2017-01-31",104278,513
"2017-02-01",93798,513
"2017-02-02",95790,513
"2017-02-03",82185,513
"2017-02-04",76724,513
"2017-02-05",71728,513
"2017-02-06",79414,513
"2017-02-07",74760,513
"2017-02-08",78251,513
"2017-02-09",75637,513
"2017-02-10",70112,513
"2017-02-11",70373,513
"2017-02-12",67767,513
"2017-02-13",66923,513
"2017-02-14",62880,513
"2017-02-15",66840,513
"2017-02-16",67359,513
"2017-02-17",73886,513
"2017-02-18",77475,513
"2017-02-19",75750,513
"2017-02-20",75819,513
"2017-02-21",75345,513
"2017-02-22",67725,513
"2017-02-23",70791,513
"2017-02-24",67537,513
"2017-02-25",90358,513
"2017-02-26",102842,513
"2017-02-27",111457,513
"2017-02-28",106792,513
"2017-03-01",92946,513
"2017-03-02",89170,513
"2017-03-03",80584,513
"2017-03-04",85782,513
"2017-03-05",88604,513
"2017-03-06",94685,514
"2017-03-07",101699,514
"2017-03-08",96575,514
"2017-03-09",71864,514
"2017-03-10",67206,514
"2017-03-11",72913,514
"2017-03-12",71760,514
"2017-03-13",73517,514
"2017-03-14",76649,514
"2017-03-15",70184,514
"2017-03-16",62033,514
"2017-03-17",64028,514
"2017-03-18",66250,514
"2017-03-19",63038,514
"2017-03-20",67034,514
